model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,inclusiveGateway,parallelGateway,exclusiveGateway,eventBasedGateway
1872,2.423076923,1.1875,25,27,3,3,4,0,3,3,0,1,0,1
1873,1.55,1,12,12,1,1,2,0,1,3,0,0,1,0
1874,1.222222222,1,4,3,0,0,1,0,2,2,0,0,0,0
1875,1.117647059,1,10,10,1,1,1,0,1,3,0,1,0,0
1876,3.1,1.111111111,12,12,1,1,2,0,7,5,0,0,1,0
1877,2.195121951,1.142857143,30,32,3,3,6,0,6,4,0,1,1,1
1878,1.857142857,1.285714286,11,11,1,1,2,0,8,3,0,0,1,0
1879,2.4,1.357142857,23,24,2,2,4,0,10,2,0,1,1,0
1880,1.307692308,1.166666667,9,9,1,1,1,0,3,3,0,0,1,0
1881,1.642857143,1,9,9,1,1,1,0,2,3,0,1,0,0
1882,2,1.105263158,29,32,4,4,3,0,4,3,0,1,1,0
1883,2.142857143,1.133333333,23,25,3,3,3,0,5,3,0,1,1,0
1884,1.961538462,1.071428571,19,20,2,2,3,0,4,3,1,0,1,0
1885,1.8,1.066666667,20,21,2,2,4,0,5,4,0,0,1,0
1886,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1887,1.8,1.090909091,14,14,1,1,3,0,5,6,0,1,0,0
1888,1.916666667,1.8,11,11,1,1,2,0,6,3,0,1,0,0
1889,1.612903226,1.076923077,18,19,2,2,2,0,7,3,0,1,1,0
1890,1,1,2,1,0,0,0,0,0,2,0,0,0,0
1891,2.2,1.5,3,2,0,0,1,0,2,2,0,0,0,0
1892,1.5,1,3,2,0,0,1,0,3,1,0,0,0,0
1893,1.375,1,3,2,0,0,1,0,4,1,0,0,0,0
1894,1.647058824,1.125,11,11,1,1,2,0,3,3,0,1,0,0
1895,4,1.818181818,26,28,3,3,4,0,5,3,1,0,1,0
1896,2,1,10,10,1,1,2,0,4,3,0,0,1,0
1897,1.454545455,1,7,7,1,1,1,0,0,3,0,1,0,0
1898,1.153846154,1,11,11,1,1,2,0,3,2,0,0,1,0
1899,2.210526316,1,11,11,1,1,2,0,2,3,0,0,1,0
1900,2.102564103,1.2,30,32,3,3,5,0,5,4,0,0,1,0
1901,1.357142857,1.2,8,8,1,1,1,0,3,3,0,1,0,0
1902,2.028571429,1.111111111,24,25,2,2,5,0,6,4,0,1,0,0
1903,1.692307692,1.125,11,11,1,1,1,0,4,4,0,0,1,0
1904,1.571428571,1.111111111,12,12,1,1,2,0,4,3,0,1,0,0
1905,2.939393939,1.222222222,28,31,3,4,3,19,7,2,0,1,1,0
1906,2.464285714,1.105263158,27,29,3,3,4,0,7,6,1,0,1,0
1907,1.257142857,1,13,13,1,1,3,0,8,3,0,0,1,0
1908,2.823529412,1.3,17,18,2,2,3,0,4,4,0,1,1,0
1909,1.25,1,3,2,0,0,1,0,0,2,0,0,0,0
1910,1.37037037,1,12,12,1,1,4,0,3,3,0,0,1,0
1911,2.176470588,1.111111111,12,12,1,1,2,0,4,3,0,1,0,0
1912,2.047619048,1.083333333,17,18,2,3,2,0,4,4,1,0,1,0
1913,1.2,1,2,1,0,0,0,0,0,2,0,0,0,0
1914,1.25,1,3,2,0,0,1,0,2,2,0,0,0,0
1915,1.333333333,1,3,2,0,0,1,0,3,1,0,0,0,0
1916,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1917,2.727272727,1.125,11,11,1,1,2,0,5,2,0,0,1,0
1918,3.125,1.277777778,29,31,3,3,4,0,3,3,0,1,1,0
1919,1.833333333,1.5,11,11,1,1,2,0,5,3,0,0,1,0
1920,1.636363636,1.25,5,4,0,0,1,0,4,2,0,0,0,0
1921,1.692307692,1.125,11,11,1,1,2,0,5,3,0,0,1,0
1922,1.291666667,1,12,12,1,1,2,0,4,3,0,0,1,0
1923,3.333333333,1.5,29,32,4,4,3,0,5,3,0,1,1,0
1924,1.428571429,1.166666667,9,9,1,1,1,0,2,3,1,0,0,0
1925,3.533333333,2.1,27,29,3,3,5,0,8,5,0,1,1,0
1926,1.684210526,1,11,11,1,1,2,0,6,3,0,1,0,0
1927,2.166666667,1.142857143,9,9,1,1,1,0,4,3,0,0,1,0
1928,2.578947368,2.375,25,27,3,3,4,0,5,3,0,1,1,0
1929,1.659090909,1.117647059,25,28,3,4,4,12,6,2,0,1,1,0
1930,1.25,1.375,13,13,1,1,2,0,4,3,0,0,1,0
1931,2.074074074,1.214285714,21,22,2,2,2,0,5,3,0,0,1,1
1932,1,1,3,2,0,0,1,0,0,3,0,0,0,0
1933,1.56,1,13,13,1,1,2,0,3,3,0,0,1,0
1934,1.736842105,1.166666667,9,9,1,1,1,0,3,5,0,0,1,0
1935,1.947368421,1.2,16,17,2,2,2,0,6,3,0,1,1,0
1936,1.5,1.333333333,4,3,0,0,1,0,3,1,0,0,0,0
1937,1.666666667,1,3,2,0,0,1,0,2,2,0,0,0,0
1938,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1939,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1940,1.8125,1,10,10,1,1,2,0,5,2,0,0,1,0
1941,2.44,1.4375,29,31,3,3,4,0,10,3,0,1,1,1
1942,1.833333333,1.166666667,9,9,1,1,2,0,3,3,0,0,1,0
1943,1.090909091,1,4,3,0,0,1,0,2,2,0,0,0,0
1944,1.384615385,1,8,8,1,1,1,0,2,2,0,1,0,0
1945,1.263157895,1,9,9,1,1,1,0,2,4,0,1,0,0
1946,2.15,1.095238095,29,33,4,4,4,0,7,3,0,0,1,0
1947,2.05,1.285714286,11,11,1,1,2,0,3,3,0,0,1,0
1948,2.636363636,1.055555556,25,27,3,3,6,0,4,4,0,1,1,0
1949,1.705882353,1,10,10,1,1,1,0,0,3,0,0,1,0
1950,1.5,1.166666667,9,9,1,1,1,0,2,3,0,1,0,0
1951,2.964285714,1.375,28,30,3,3,5,0,7,6,0,1,1,0
1952,2.47826087,1.055555556,23,24,2,2,4,0,8,3,0,0,1,0
1953,1.5,1.222222222,13,13,1,1,2,0,6,2,0,0,1,0
1954,1.75,1.214285714,21,22,2,2,3,0,3,3,0,1,1,0
1955,1,1,2,1,0,0,0,0,0,2,0,0,0,0
1956,1.619047619,1,12,12,1,1,2,0,5,3,0,1,0,0
1957,1.210526316,1,10,10,1,1,1,0,5,2,0,1,0,0
1958,2.142857143,1.25,19,20,2,2,2,0,3,3,0,0,1,0
1959,1.666666667,1,3,2,0,0,1,0,1,2,0,0,0,0
1960,1.222222222,1,4,3,0,0,1,0,0,3,0,0,0,0
1961,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1962,1,1,1,0,0,0,0,0,1,1,0,0,0,0
1963,1.266666667,1,8,8,1,1,1,0,2,3,0,1,0,0
1964,2.121212121,1,27,29,3,3,4,0,9,3,0,1,1,0
1965,1.8,1.1,13,13,1,1,2,0,5,2,0,0,1,0
1966,1.153846154,1,4,3,0,0,1,0,2,2,0,0,0,0
1967,1.736842105,1,10,10,1,1,1,0,3,3,0,1,0,0
1968,1.785714286,1,10,10,1,1,1,0,4,3,0,0,1,0
1969,2.054054054,1.1,29,32,3,4,3,0,6,4,0,1,0,0
1970,1.411764706,1.166666667,9,9,1,1,1,0,3,6,0,1,0,0
1971,3.318181818,1.235294118,27,29,3,3,3,0,6,4,0,1,1,0
1972,1.791666667,1.125,11,11,1,1,1,0,4,4,0,0,1,0
1973,1.666666667,1.222222222,13,13,1,1,1,0,3,3,0,1,0,0
1974,3.545454545,1.166666667,26,27,3,3,6,0,7,5,0,0,1,0
1975,1.533333333,1.1875,25,27,3,3,2,0,6,3,0,1,1,0
