model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,parallelGateway,exclusiveGateway,eventBasedGateway
840,1.0,1.0,3,2,0,0,1,0,0,3,0,0,0
841,1.934782608695652,1.0869565217391304,31,33,4,4,5,0,0,4,0,1,0
842,2.0869565217391304,1.0769230769230769,36,39,4,4,5,0,0,4,0,1,0
843,2.5217391304347827,1.28,42,52,8,6,3,0,0,4,1,1,0
844,2.396551724137931,1.1428571428571428,50,60,6,8,7,0,0,4,1,1,0
845,3.0,1.3333333333333333,58,68,7,8,6,0,0,4,0,1,0
846,3.289473684210526,1.391304347826087,81,96,11,12,9,0,0,4,1,1,0
847,3.3333333333333335,1.2702702702702702,57,79,15,9,5,0,0,4,1,0,0
848,2.28,1.1111111111111112,35,42,3,6,3,0,0,3,1,1,0
849,2.380952380952381,1.3333333333333333,35,44,8,6,2,0,0,3,1,1,0
850,1.2,1.0,2,1,0,0,0,0,0,2,0,0,0
851,2.090909090909091,1.0952380952380953,27,28,2,2,3,0,0,4,0,1,1
852,2.2203389830508473,1.1379310344827587,41,44,4,4,7,0,0,4,1,1,0
853,2.2545454545454544,1.2692307692307692,41,44,4,4,5,0,0,4,1,1,0
854,2.509433962264151,1.1875,50,61,7,9,8,0,0,4,1,1,0
855,2.857142857142857,1.236842105263158,56,71,8,10,8,0,0,4,1,1,0
856,3.426470588235294,1.3265306122448979,80,92,11,9,12,0,0,4,1,1,0
857,2.8852459016393444,1.3421052631578947,65,83,9,13,7,0,0,4,1,0,0
858,2.1714285714285713,1.1578947368421053,30,33,4,6,4,0,0,3,0,1,0
859,2.183673469387755,1.0357142857142858,34,42,5,6,2,0,0,4,0,1,0
860,1.1428571428571428,1.0,3,1,0,0,0,0,1,2,0,0,0
861,1.6730769230769231,1.0,30,38,4,6,2,0,0,4,1,1,0
862,2.259259259259259,1.1290322580645162,43,53,6,7,3,0,0,4,0,1,0
863,2.5918367346938775,1.2258064516129032,48,58,6,8,5,0,0,4,1,1,0
864,2.34375,1.125,55,59,5,6,9,0,0,4,0,1,0
865,2.492063492063492,1.3157894736842106,62,79,13,9,7,0,0,4,1,1,0
866,3.5,1.3,81,106,15,13,7,0,0,4,1,1,0
867,2.6607142857142856,1.3235294117647058,57,62,7,7,10,0,0,4,0,1,0
868,1.5952380952380953,1.0454545454545454,31,34,4,4,3,0,0,4,1,1,0
869,2.2564102564102564,1.1304347826086956,34,37,4,5,4,0,0,4,1,1,0
870,1.3333333333333333,1.0,1,0,0,0,0,0,1,1,0,0,0
871,2.525,1.0909090909090908,28,29,2,2,3,0,0,4,0,1,0
872,2.7435897435897436,1.1111111111111112,38,47,7,5,4,0,0,4,1,1,0
873,2.227272727272727,1.3846153846153846,46,50,5,5,5,0,0,4,1,1,0
874,2.125,1.2424242424242424,51,61,8,6,5,0,0,4,1,1,0
875,2.634920634920635,1.119047619047619,59,70,8,9,7,0,0,4,0,1,0
876,4.131147540983607,1.375,82,95,11,9,12,0,0,4,1,1,0
877,3.830188679245283,1.358974358974359,65,76,7,9,9,0,0,4,1,1,0
878,2.358490566037736,1.25,36,44,5,6,3,0,0,4,0,1,0
879,2.0416666666666665,1.12,36,39,4,4,6,0,0,4,0,1,0
880,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
881,1.9787234042553192,1.2,32,35,5,5,3,0,0,4,0,1,0
882,1.8478260869565217,1.2,37,46,8,6,4,0,0,4,1,1,0
883,2.142857142857143,1.1,41,44,4,4,7,0,0,4,1,1,0
884,2.892857142857143,1.3333333333333333,51,62,7,9,5,0,0,4,1,1,0
885,2.6,1.170731707317073,62,81,12,11,4,0,0,4,1,1,0
886,3.6964285714285716,1.4285714285714286,80,89,10,10,10,0,0,4,1,1,1
887,2.492957746478873,1.2307692307692308,60,71,7,9,8,0,0,4,1,1,0
888,2.4318181818181817,1.1666666666666667,34,42,4,6,3,0,0,4,1,1,0
889,2.5681818181818183,1.2857142857142858,33,41,6,4,3,0,0,4,1,0,0
890,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
891,2.6153846153846154,1.125,31,32,2,2,6,0,0,4,0,1,0
892,2.4130434782608696,1.0689655172413792,37,39,3,3,5,0,0,4,0,1,0
