model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,parallelGateway,exclusiveGateway,eventBasedGateway
1,1.5185185185185186,1.0555555555555556,29,32,5,5,4,0,1,3,1,1,1
2,2.033333333333333,1.12,40,46,6,6,6,0,1,3,0,1,1
3,1.5405405405405406,1.0833333333333333,45,55,9,10,7,0,1,3,1,1,0
4,1.5909090909090908,1.2352941176470589,55,59,6,7,7,0,1,3,1,1,0
5,1.74,1.0909090909090908,62,80,12,14,9,0,1,3,1,1,0
6,2.2063492063492065,1.1875,88,104,15,16,10,4,1,3,1,1,1
7,1.7826086956521738,1.064516129032258,63,81,14,15,7,0,0,3,1,1,0
8,1.8333333333333333,1.2777777777777777,33,38,5,5,5,0,1,3,0,1,1
9,1.6129032258064515,1.2105263157894737,36,42,8,5,3,0,1,3,0,1,0
